Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
bis ca. 40 cm,,Magerzone,mehrjährig,Festuca ovina,heimisch,Poaceae - Süßgräser,"Sonne, Halbschatten",trocken - frisch,Insekten,Schaf-Schwingel,"Der heimische Schaf-Schwingel ist durch sein dichtes Wurzelwerk hervorragend zur Befestigung von Böden oder als Bodendecker geeignet. Das Gras wächst besonders gut auf mageren, trockenen bis frischen Böden, die gerne etwas auer sein dürfen. Die Lage sollte sonnig bis halbschattig sein. Der Schaf-Schwingel erreicht eine Höhe von bis zu ca. 40 cm und verträgt starke Rückschnitte.",grüngelb,mager,,Juli - August
70 - 110 cm,,Magerzone,mehrjährig,Melica ciliata,heimisch,Poaceae - Süßgräser,Sonne,trocken,Insekten,Bewimpertes Perlgras,"Dieses in Europa weitverbreitete Gras hat seinen Namen von den Deckspelzen, die wie kleine Wimpern aus den Ähren wachsen.  Das Bewimperte Perlgras schmückt jede Kalk-Magerwiese, der Standort sollte nährstoffarm, trocken und sonnig sein. Seine Höhe variiert je nach Stanort zwischen 70 und 110 cm und es bildet dichte Horste, die für viele Insekten und Kleintiere einen guten Rückzugsort darstellen.",silberweiß,mager,,Mai bis Juni
bis zu 100 cm,,Magerzone,mehrjährig,Bromus erectus,heimisch,Poaceae - Süßgräser,Sonne,trocken,Insekten,Aufrechte Trespe,"Die heimische Aufrechte Trespe erreicht eine Höhe von bis zu 100 cm und wächst gut auf mageren und trockenen Standorten in sonniger Lage. Zwischen Juni und Juli zeigen sich die rötlichen, braunen oder grünlichen Rispen. Im Hortus kann dieses Gras gut als Bestandteil einer Magerwiese eingesetzt werden.","rötlich, braun, grün",mager,,Juni bis Juli
20 - 50 cm,,Magerzone,mehrjährig,Briza media,heimisch,Poaceae - Süßgräser,Sonne,trocken - frisch,Insekten,Zittergras,"Wie bei den meisten Gräsern lohnt sich ein genauer Blick auf dieses Gras, denn seine zarten Blütenrispen, die ab Mai ausgebildet werden, sind wunderschön. Das Zittergras bevorzugt magere und trockene bis frische Standorte in sonniger Lage. Seine Höhe von ca. 20 - 50 cm (bei Magerstandorten) ist überschaubar.  Das heimische Gras ist wintergrün und verschönert als Zwischenpflanzung jedes Magerstaudenbeet, zurückgeschnitten wird es nicht, es wird bei Bedarf durch Auszupfen in Form gehalten. Das Zittergras kann auch problemlos in Kübel gepflanzt werden. Auf der Roten Liste der Pflanzen Deutschlands ist es der Kategorie Vorwarnstufe zugeordnet.",grünbraun,mager,,Mai bis August
10 - 50 cm,,Rand der Pufferzone,mehrjährig,Plantago lanceolata,heimisch,Plantaginaceae - Wegerichgewächse,Sonne,frisch - feucht,11-20 Nachtfalterraupen,Spitzwegerich,"Der Spitzwegerich ist eine mehrjährige, tiefwurzelnde Pflanze, die eine Höhe von bis zu 50 cm erreichen kann. Diese Pflanze mag es nährstoffreich und nicht zu trocken, der Boden darf auch etwas sauer sein. Ein Platz in der Sonne ist dem Spitzwegerich am liebsten. Die Pflanze wird hauptsächlich von pollensuchenden Insekten wie z.B. Hummeln angeflogen und dient zusätzlich als Raupenfutter für viele Schmetterlingsarten. Spitzwegerich wird seit Jahrhunderten als Wildgemüse in der Küche genutzt und ist ein wertvolles Heilkraut.",weiß,humos,,Mai - September
bis 40 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2021/10/IMG_0531-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2021/10/IMG_0518-300x225.jpg']",Rand der Pufferzone,mehrjährig,Taraxacum officinale,heimisch,Asteraceae - Korbblütengewächse,Sonne - Halbschatten,frisch - feucht,Insekten,Gemeiner Löwenzahn,"Jeder kennt ihn und er spaltet die Gemüter. Für die Einen ist er Unkraut, dass es mit allen Mitteln zu bekämpfen gilt, für die Anderen eine wichtige Nutzpflanze für Mensch und Tier.  Da der Löwenzahn mit fast allen Böden zurecht kommt, ist er sehr ausbreitungsfreudig und verdrängt weniger konkurrenzstarke Pflanzen. Am wohlsten fühlt sich der Löwenzahn aber in nährstoffreicher, frischer Erde. Seine Hauptblüte beginnt im April und damit ist der Löwenzahn eine wichtige Nahrungsquelle für frühfliegende Insekten. Darüber hinaus ist er eine wertvolle Raupenfutterpflanze. Auch der Mensch profitiert vom Löwenzahn, der viele Vitamine und Mineralstoffe enthält.",gelb,humos,,April bis Oktober
40 - 70 cm,['https://hortus-netzwerk.de/wp-content/uploads/2021/10/IMG_1121-300x225.jpg'],"Magerzone, Rand der Pufferzone",mehrjährig,Centaurea jacea,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken - frisch,"Nachtfalter und 6-10 Nachtfalterraupen, Insekten",Wiesen-Flockenblume,"Die bei uns heimische Wiesen-Flockenblume bevorzugt eher nährstoffreichere Böden und erreicht dort eine Höhe bis zu 70cm. Doch sie kommt auch an Magerstandorten zurecht, bleibt dort allerdings etwas kleiner. Der Boden sollte trocken bis frisch sein, ein sonniger Platz gefällt dieser mehrjährigen Pflanze am besten.  Ab Juni zeigt sie ihre wunderschönen violetten Blüten, die gut von Insekten angeflogen werden. Die Pflanze dient zudem mehreren Nachtfalterraupfen als Nahrung.",violett,mager - humos,,Juni bis Oktober
15 - 20 cm,['https://hortus-netzwerk.de/wp-content/uploads/2021/10/IMG_0413-300x225.jpg'],Rand der Pufferzone,mehrjährig,Bellis perennis,heimisch,Asteraceae - Korbblütengewächse,Sonne - Halbschatten,frisch - feucht,Insekten,Gänseblümchen,"Das heimische Gänseblümchen bevorzugt nährstoffreichen, frischen Boden in sonniger bis halbschattiger Lage. Ab März zeigen sich die weißen Blüten, die eine wichtige Nahrungsquelle für frühfliegende Insekten darstellt. Schon seit Jahrhunderten nutzt auch der Mensch das Gänseblümchen. Neben Gerb- und Bitterstoffen enthält es noch viele andere Wirkstoffe und wurde zur Heilpflanze des Jahres 2017 gewählt.","weiß, weißrosa",humos,,März bis September
bis 250 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2021/10/IMG_2508-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2021/10/IMG_0648-300x225.jpg']",Rand der Pufferzone,mehrjährig,Urtica dioica,heimisch,Urticaceae - Brennesselgewächse,Sonne - Halbschatten - Schatten,frisch - feucht,Raupenfutter für mehr als 30 Schmetterlingsarten,Große Brennessel,"Die Brennnessel gehört zu den Stickstoffanzeigern. Die heimische Pflanze ist mehrjährig und ausbreitungsfreudig. Auf nährstoffreichen, frischen bis feuchten Böden wächst sie am besten und kann eine Höhe von bis zu 250 cm erreichen. Wer Schmetterlinge unterstützen möchte, sollte die ein oder andere Brennnessel in seinem Hortus dulden, denn die Pflanze dient mehr als 30 Schmetterlingsarten als Raupenfutter. Die Brennnessel enthält viele Vitamine und Mineralien und wird vom Menschen als Wildgemüse und wertvolle Heilpflanze genutzt.",grün,humos,,Juli bis Oktober
bis ca. 100 cm,,Ertragszone,mehrjährig,Solanum tuberosum,Mittel- und Südamerika,Solanaceae - Nachtschattengewächse,Sonne,frisch,,Kartoffel,"Im Gegensatz zu vielen anderen Knollen- und Wurzelgemüsen handelt es sich bei der Kartoffel nicht um eine zweijährige, sondern um eine ausdauernde Pflanze. Pflanzt man eine Kartoffel, bildet sich erst das Blattwerk, dann folgt die Blüte und danach werden die Knollen gebildet, die wir zur entsprechenden Zeit dann ernten. Die Kartoffel ist eine der wichtigsten Errungenschaften, die im 17. JH aus der ""Neuen Welt"" zu uns kam. Heutzutage wird sie weltweit angebaut und ist eines der wichtigsten Grundnahrungsmittel. Kartoffeln pflanzt man mit einem Reihenabstand von ca. 30 cm, der Abstand in der Reihe sollte ca. 35 cm betragen. Neben Bohnen, Kamille, Kapuzinerkresse, Knoblauch, Kohlrabi, Koriander, Kümmel, Mais, Meerrettich und Spinat gedeiht die Kartoffel, die zu den Starkzehrern zählt, besonders gut. Blumenkohl, Erbsen, Gurken, Kürbis, Rosenkohl, Rote Bete, Sellerie, Tomaten und Zwiebeln sollten nicht in direkter Nachbarschaft stehen.","weiß, violett",nährstoffreich,,April bis Juni
bis ca. 60 cm,,Ertragszone,zweijährig,Beta vulgaris,"Mittelmeerraum, Nordafrika",Amaranthaceae - Fuchsschwanzgewächse,Sonne,frisch - feucht,,"Rote Beete, Rote Bete","Wahrscheinlich aus dem südlichen Mittelmeerraum/Nordafrika stammend, war die Rote Beete schon den Römern bekannt. Rote Beete ist zweijährig, sie bildet im ersten Jahr die Knolle und blüht dann im zweiten Jahr, bevor sie Samen ausbildet. Rote Beete ist ein Mittelzehrer, man sollte sie mit einem Reihenabstand von ca. 30 cm anbauen und dabei einen Abstand innerhalb der Reihe von mindestens 10 cm einhalten. Neben Blumenkohl, Bohnen, Bohnenkraut, Dill, Gurken, Knoblauch, Kohl, Kohlrabi, Kopfsalat, Koriander, Kümmel, Pastinake, Pflücksalat, Zucchini und Zwiebeln fühlt sich die Rote Beet wohl. Kartoffeln, Lauch, Mais, Möhren, Spinat und Tomaten sind keine gute Nachbarn für diese Knolle.",grüngelb,nährstoffreich,,September
ca. 140 cm,,Ertragszone,zweijährig,Brassica oleracea var. gongylodes,ungeklärt. Bei uns seit ca. dem 16. JH bekannt,Brassicaceae - Kreuzblütler,"Sonne, Halbschatten",feucht,,Kohlrabi,"Kohlrabi ist bei uns seit ca. dem 16. JH bekannt, seine Herkunft ist ungeklärt. Die zweijährige Pflanze bildet im ersten Jahr die Knolle und im zweiten Jahr dann Blüte und Samen. Der Reihenabstand sollte ca. 30 cm betragen, innerhalb der Reihe benötigt Kohlrabi ca. 25 cm. Kohlrabi gehört zu den Mittelzehrern. Er kann meines Wissens nach neben allen anderen Gemüsesorten angebaut werden, besonders geeignet sind Bohnen, Erbsen, Gurken, Kartoffeln, Kopfsalat, Lauch, Radieschen, Rettich, Rote Bete, Schwarzwurzeln, Sellerie, Spinat, Tomaten und Zwiebeln. Über ""schlechte Nachbarschaften"" ist mir nichts bekannt.  Die Kohlrabiblätter enthalten z.T. wesentlich mehr Nährstoffe als die Knolle! Also bitte nicht wegwerfen, sondern mitessen.",gelb,nährstoffreich,,Mai bis September
ca. 120 cm,,Ertragszone,zweijährig,Pastinaca sativa,Süd- und Mitteleuropa,Apiaceae - Doldenblütler,"Sonne, Halbschatten",frisch - feucht,,Pastinake,"Die äußerst gesunde Pastinake war schon in der Antike ein beliebtes Nahrungsmittel und diente bis ins Mittelalter als Grundnahrungsmittel. Als die Kartoffel aus der ""Neuen Welt"" zu uns kam, verdrängte sie die Pastinake und in Deutschland geriet sie weitestgehend in Vergessenheit. Die zweijährige Pflanze wird bei uns einjährig kultiviert und dann geerntet. Es lohnt sich aber, ein paar Pflanzen zur Blüte kommen zu lassen, denn die Blüten der Pastinake ist bei Insekten sehr beliebt und werden gut angeflogen. Gesät wird die mittelzehrende Pastinake ca. 1cm tief mit einem Reihenabstand von ca. 30 cm, der Abstand innerhalb der Reihe sollte ca. 10 cm betragen. Als Pflanznachbarn eignen sich Pflücksalat, Rote Beete und Spinat. Neben Fenchel, Möhre, Petersilie und Sellerie sollte die Pastinake nicht angebaut werden.",gelb,"nährstoffreich, locker",,Juni bis September
bis ca. 130 cm,,Ertragszone,zweijährig,Daucus carota,"unbekannt, schon seit der Antike in Europa bekannt",Apiaceae - Doldenblütler,"Sonne, Halbschatten",frisch - feucht,,"Karotte, Möhre","In Europa ist die Karotte schon seit der Antike bekannt. Verschiedene Möhrensorten in unterschiedlichen Farben fanden ab ca. dem 11. JH ihren Weg vom Nahen Osten über Spanien zu uns. Die zweijährige Pflanze wird bei uns einjährig angebaut, geerntet wird die Wurzel. Nur wenn Samen ausgebildet werden sollen, bleibt die Pflanze bis ins zweite Jahr im Beet.  Gesät wird die Karotte ca. 1cm tief, der Reihenabstand sollte ca. 15 cm betragen, der Abstand innerhalb der Reihe ca. 5 cm. Als Pflanznachbarn bieten sich Dill, Endivien, Erbsen, Knoblauch, Kopfsalat, Lauch, Mangold, Pflücksalat, Radieschen, Rettich, Rosmarin, Salbei, Schnittlauch, Schwarzwurzeln, Tomaten, Zichoriensalate, Zucchini und Zwiebeln an. Pastinak und Rote Bete mag die Möhre, die zu den Mittelzehrern zählt, nicht als Nachbarn.",weiß,"nährstoffreich, locker",,Juli bis August
bis ca. 150cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/UNADJUSTEDNONRAW_thumb_3c0c-300x225.jpg'],Magerzone,zweijährig,Cirsium vulgare,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken,"Nektar- und Pollenlieferant,  Raupenfutter,  Vogelnahrung (Samen)",Gewöhnliche Kratzdistel,"Die heimische Gewöhnliche Kratzdistel wird bis zu ca. 150 cm hoch und gedeiht am Besten auf mageren, sonnigen und trockenen Standorten. Die zweijährige Pflanze blüht ab Juni und ihre lilafarbenen Blüten ziehen viele Insekten an. Die Gewöhnliche Kratzdistel sät sich zuverlässig selbst aus und die Nachzucht aus den Samen ist einfach.  Eng gepflanzt wird die Gewöhnliche Kratzdistel zu einer nur sehr schwer zu überwindenden Barriere für Beutegreifer und eignet sich daher sehr gut als Schutzpflanze. Die Samen werden von Vögeln im Winter als Futterquelle genutzt.",violett,mager,,Juni bis September
bis ca. 30cm,,Magerzone,mehrjährig,Carlina acaulis,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken,Bienen und andere Insekten,Silberdistel,"Die heimische Silberdistel mag es trocken, mager und sonnig. Am richtigen Standort treibt diese mehrjährige Distel jedes Jahr neu aus und kann im Laufe der Jahre Horste bilden. Diese sollte man jedoch nicht teilen, denn die Silberdistel besitzt eine sehr lange Pfalwurzel, die beim Teilen meist beschädigt wird. Als Schutz vor Beutegreifern kann man die nur bis zu 30 cm hohe Pflanze nicht verwenden, aber ihre weiß/silbrigen Blüten sind ab Juli ein wunderschöner Blickfang im Hortus. Neben Bienen werden auch andere Insekten von den reflektierenden Blüten der Silberdistel angezogen.",weiß,mager,,Juli bis September
bis ca. 100cm,['https://hortus-netzwerk.de/wp-content/uploads/2021/05/juli19_006a-300x225.jpg'],Magerzone,mehrjährig,Carduus nutans,vor mehreren Jahrhunderten eingebürgert,Asteraceae - Korbblütengewächse,Sonne,trocken,Bienen und andere Insekten,Nickende Distel,"Die Nickende Distel wurde vor mehreren Jahrhunderten in Mitteleuropa eingebürgert. Die bis zu 100 cm hohe Pflanze bevorzugt sonnige, magere und trockene Standorte. Eng gepflanzt eignet sie sich sehr gut als Schutzpflanze vor Beutegreifern für Kleintiere und Vögel. Die lilafarbenen Blüten öffnen sich ab Juli und bieten zahlreichen Insekten Nahrung, wobei nicht nur der Nektar begehrt ist, sondern die Blätter auch als Raupenfutter dienen. Die zweijährige Nickende Distel sät sich selbst aus, aber auch die Anzucht aus den Samen ist sehr leicht.",lila,mager,,Juli bis September
bis 150 cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/Silybum-marianum-300x212.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/mariendistel02-225x300.jpg']",Magerzone,ein- bis zweijährig,Silybum marianum,Südeuropa,Asteraceae - Korbblütengewächse,Sonne,trocken,"Bienen, Hummeln",Mariendistel,"Ursprünglich wohl aus dem Mittelmeerraum stammend, ist die Mariendistel bei uns schon seit Jahrhunderten bekannt und in manchen Gebieten Mitteleuropas verwildert anzutreffen. Die bis zu 150 cm große Pflanze mit den weiß gefleckten Blättern liebt trockene und sonnige Standorte auf magerem Boden.  Sie kann einen Durchmesser von durchaus 75 cm erreichen, man sollte also auf größere Pflanzabstände achten.  Je nach Witterung erscheinen die wunderschönen, lilafarbenen Blüten ab Mai und sind eine hervorragende Nektarquelle für Bienen und andere Insekten.  Durch den dichten, ausladenden Wuchs ist die Mariendistel hervorragend als Schutzpflanze für Kleintiere wie Eidechsen oder auch Vögel geeignet, zumal sie sehr dekorativ ist. Die Samen dieser ein- bis zweijährigen Distel sind leicht zu sammeln und die Aussaat gelingt meist problemlos.",violett,mager,Heilpflanze,Mai bis September
bis ca. 60cm,['https://hortus-netzwerk.de/wp-content/uploads/2021/05/Golddistel-300x251.png'],Magerzone,mehrjährig,Carlina vulgaris,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken,Bienen und andere Insekten,Golddistel,"Die heimische Golddistel ist eine niedrige Distel, die bis zu 60 cm hoch werden kann. Daher ist sie als Schutzpflanze gegen Beutegreifer nicht so gut geeignet, wie andere Distelarten. Die Golddistel ist eine mehrjährige Pflanze, die sehr gut auf mäßig trockenen Magerwiesen in sonniger Lage gedeiht. Gefällt ihr der Standort, treibt sie jedes Jahr wieder neu aus. Vorraussetzung ist allerdings, dass nur sparsam gemäht wird. Ihre wunderschönen, gelbbraunen Blüten erscheinen ab Juli und locken neben Bienen auch andere Insekten an.",weiß/gelbbraun,mager,,Juli bis September
bis zu 50cm,,"Pufferzone, Ertragszone",Strauch,Vaccinium myrtillus,heimisch,Ericaceae - Heidekrautgewächse ,"(Sonne), Halbschatten",frisch - feucht,,Heidelbeere,"Der bis zu ca. 50 cm hohe Strauch der heimischen Heidelbeere trägt kleine Früchte, deren Schale und Fruchtfleisch violett gefärbt ist. Im Gegensatz dazu ist das Fleisch der Kulturheidelbeere, die heutzutage meist im Handel erhältlich ist, weiß. Die Kulturheidelbeere trägt größere Früchte und stammt von der nordamerikanischen Blaubeere (Vaccinium corymbosum) ab. Heidelbeeren gedeihen am besten auf nährstoffreichem, eher sandigen Boden, der sauer sein sollte. Für das bodensaure Klima eignet sich eine Mulchschicht aus Nadelholz besonders gut. Zum einen geht die Blaubeere mit einem in Nadelhölzern enthaltenen Pilz eine Symbiose ein und zum anderen schützt der Mulch den Flachwurzler vor dem Austrocknen. Der Standort sollte sonnig bis halbschattig und frisch bis feucht sein. Empfehlenswert ist die Pflanzung von mindestens zwei verschiedenen Sorten, auch wenn die Heidelbeere selbstbefruchtend ist. Der Pflanzabstand sollte ca. 70 - 100cm betragen. Die schönsten Früchte wachsen am zweijährigen Trieb. Alte Zweige kürzt man deshalb bis knapp vor einen jungen Seitentrieb, vergreiste Äste entfernt man ganz um Platz für Jungtriebe zu schaffen. Heidelbeeren finden in der Heilkunde Anwendung. Darüber hinaus stärken das Immunsystem und zählen zu den Antioxidantien.",weiß,"nährstoffreich, sauer",Essbar,Mai - Juli
bis zu 200cm,,"Pufferzone, Ertragszone",Strauch,Ribes rubrum,heimisch,Grossulariaceae - Stachelbeergewächse,"Sonne, Halbschatten",frisch - feucht,,Rote Johannisbeere,"Schon im 15. JH wurden Rote Johannisbeeren in heimischen Klöstern kultiviert. Der Strauch kann bis zu zwei Metern hoch werden und gedeiht am besten an einem hellen bis halbschattigen Standort. An vollsonnigen Standorten sollte man darauf achten, dass der Boden gut gemulcht ist, um starke Trockenheit zu vermeiden, denn die Rote Johannisbeere mag es frisch bis feucht.  Auch auf eher mageren Böden gedeiht diese Pflanze, die Erträge sind dann aber etwas geringer als auf nährstoffreichem Untergrund. Der Pflanzabstand beträgt - je nach Sorte und Kultivierung - ca. 70 bis 100 cm. Rote Johannisbeeren sind selbstbefruchtend, der Ertrag steigt aber, wenn man mehrere Sorten pflanzt.  Die Beeren wachsen am zwei- und dreijährigen Holz. Alle älteren Triebe, die man an der sehr dunklen Rinde erkennt, werden im zeitigen Herbst kräftig zurückgeschnitten.  Die Rote Johannisbeere ist reich an Vitamin C, Spurenelementen und Mineralstoffen. Vögel und Kleintiere freuen sich ebenfalls über diesem Leckerbissen. Übrigens gehören auch die weißen Johannisbeer-Sorten botanisch gesehen zur Gattung Ribes rubrum.",gelbgrün,nährstoffreich,Essbar,April - Mai
